"","Feature","Definition","Score","CR.Mean","NonCR.mean","pvalue","padjust"
"770","GO:0014047","glutamate secretion",0.506,"0% {0/114}","0.69% {7/1010}",0.604,1
"771","GO:0070613","regulation of protein processing",0.505,"0% {0/114}","0.4% {4/1010}",0.5,1
"772","GO:0008207","C21-steroid hormone metabolic process",0.505,"0% {0/114}","0.5% {5/1010}",0.504,1
"773","GO:0034975","protein folding in endoplasmic reticulum",0.503,"0% {0/114}","0.5% {5/1010}",0.504,1
"774","GO:0045652","regulation of megakaryocyte differentiation",0.503,"0.88% {1/114}","0.89% {9/1010}",0.5,1
"775","GO:0043328","protein transport to vacuole involved in ubiquitin-dependent protein catabolic process via the multivesicular body sorting pathway",0.502,"0% {0/114}","0.4% {4/1010}",0.5,1
"776","GO:0009653","anatomical structure morphogenesis",0.499,"0% {0/114}","0.59% {6/1010}",0.559,1
"777","GO:0045116","protein neddylation",0.499,"0% {0/114}","0.4% {4/1010}",0.5,1
"778","GO:0061136","regulation of proteasomal protein catabolic process",0.499,"0% {0/114}","0.69% {7/1010}",0.604,1
"779","GO:0015914","phospholipid transport",0.497,"0% {0/114}","0.5% {5/1010}",0.504,1
"780","GO:0033683","nucleotide-excision repair, DNA incision",0.496,"0% {0/114}","0.69% {7/1010}",0.604,1
"781","GO:0032092","positive regulation of protein binding",0.495,"0% {0/114}","0.99% {10/1010}",0.706,1
"782","GO:0042307","positive regulation of protein import into nucleus",0.495,"0% {0/114}","0.69% {7/1010}",0.604,1
"783","GO:0045332","phospholipid translocation",0.493,"0% {0/114}","0.3% {3/1010}",0.5,1
"784","GO:0050729","positive regulation of inflammatory response",0.492,"0% {0/114}","0.79% {8/1010}",0.643,1
"785","GO:0048873","homeostasis of number of cells within a tissue",0.492,"0% {0/114}","0.59% {6/1010}",0.559,1
"786","GO:0061684","chaperone-mediated autophagy",0.487,"0.88% {1/114}","0.2% {2/1010}",0.354,1
"787","GO:0098656","anion transmembrane transport",0.486,"0% {0/114}","0.4% {4/1010}",0.5,1
"788","GO:0042573","retinoic acid metabolic process",0.485,"0% {0/114}","0.4% {4/1010}",0.5,1
"789","GO:0048490","anterograde synaptic vesicle transport",0.485,"0% {0/114}","0.59% {6/1010}",0.559,1
"790","GO:0051384","response to glucocorticoid",0.485,"0.88% {1/114}","0.79% {8/1010}",0.5,1
"791","GO:0006098","pentose-phosphate shunt",0.483,"0% {0/114}","0.4% {4/1010}",0.5,1
"792","GO:0051443","positive regulation of ubiquitin-protein transferase activity",0.482,"0% {0/114}","0.59% {6/1010}",0.559,1
"793","GO:1904874","positive regulation of telomerase RNA localization to Cajal body",0.481,"0% {0/114}","0.4% {4/1010}",0.5,1
"794","GO:0006104","succinyl-CoA metabolic process",0.48,"0% {0/114}","0.3% {3/1010}",0.5,1
"795","GO:0010586","miRNA metabolic process",0.477,"0% {0/114}","0.5% {5/1010}",0.504,1
"796","GO:0031175","neuron projection development",0.477,"0.88% {1/114}","0.99% {10/1010}",0.5,1
"797","GO:0007286","spermatid development",0.476,"0% {0/114}","0.69% {7/1010}",0.604,1
"798","GO:0060324","face development",0.473,"0% {0/114}","0.5% {5/1010}",0.504,1
"799","GO:0030308","negative regulation of cell growth",0.472,"0.88% {1/114}","1.09% {11/1010}",0.5,1
"800","GO:0006265","DNA topological change",0.47,"0% {0/114}","0.3% {3/1010}",0.5,1
"801","GO:0032880","regulation of protein localization",0.469,"0% {0/114}","0.59% {6/1010}",0.559,1
"802","GO:0015808","L-alanine transport",0.468,"0% {0/114}","0.4% {4/1010}",0.5,1
"803","GO:0032212","positive regulation of telomere maintenance via telomerase",0.466,"0% {0/114}","0.99% {10/1010}",0.706,1
"804","GO:0051209","release of sequestered calcium ion into cytosol",0.466,"0% {0/114}","0.4% {4/1010}",0.5,1
"805","GO:0071407","cellular response to organic cyclic compound",0.465,"0% {0/114}","0.79% {8/1010}",0.643,1
"806","GO:0043568","positive regulation of insulin-like growth factor receptor signaling pathway",0.463,"0% {0/114}","0.4% {4/1010}",0.5,1
"807","GO:0031334","positive regulation of protein-containing complex assembly",0.462,"0% {0/114}","0.69% {7/1010}",0.604,1
"808","GO:0006665","sphingolipid metabolic process",0.46,"0% {0/114}","1.09% {11/1010}",0.732,1
"809","GO:0002377","immunoglobulin production",0.46,"0% {0/114}","0.3% {3/1010}",0.5,1
"810","GO:0032508","DNA duplex unwinding",0.458,"0% {0/114}","1.19% {12/1010}",0.755,1
"811","GO:0060828","regulation of canonical Wnt signaling pathway",0.457,"0.88% {1/114}","0.2% {2/1010}",0.354,1
"812","GO:0006898","receptor-mediated endocytosis",0.456,"0.88% {1/114}","0.69% {7/1010}",0.5,1
"813","GO:0075733","intracellular transport of virus",0.456,"0% {0/114}","0.59% {6/1010}",0.559,1
"814","GO:0001954","positive regulation of cell-matrix adhesion",0.455,"0% {0/114}","0.4% {4/1010}",0.5,1
"815","GO:0030278","regulation of ossification",0.454,"0% {0/114}","0.4% {4/1010}",0.5,1
"816","GO:0008209","androgen metabolic process",0.454,"0% {0/114}","0.4% {4/1010}",0.5,1
"817","GO:0070914","UV-damage excision repair",0.452,"0.88% {1/114}","0.2% {2/1010}",0.354,1
"818","GO:0006906","vesicle fusion",0.452,"0.88% {1/114}","0.79% {8/1010}",0.5,1
"819","GO:0006654","phosphatidic acid biosynthetic process",0.449,"0% {0/114}","0.4% {4/1010}",0.5,1
"820","GO:0051028","mRNA transport",0.449,"0% {0/114}","1.49% {15/1010}",0.81,1
"821","GO:0048278","vesicle docking",0.448,"0% {0/114}","0.59% {6/1010}",0.559,1
"822","GO:0046688","response to copper ion",0.447,"0.88% {1/114}","0.2% {2/1010}",0.354,1
"823","GO:0061029","eyelid development in camera-type eye",0.446,"1.75% {2/114}","0.1% {1/1010}",0.011,1
"824","GO:0051480","regulation of cytosolic calcium ion concentration",0.446,"0% {0/114}","0.4% {4/1010}",0.5,1
"825","GO:0034383","low-density lipoprotein particle clearance",0.443,"0% {0/114}","0.5% {5/1010}",0.504,1
"826","GO:1901653","cellular response to peptide",0.441,"0% {0/114}","0.4% {4/1010}",0.5,1
"827","GO:0071347","cellular response to interleukin-1",0.441,"0.88% {1/114}","0.2% {2/1010}",0.354,1
"828","GO:0006479","protein methylation",0.44,"0% {0/114}","0.3% {3/1010}",0.5,1
"829","GO:0016055","Wnt signaling pathway",0.44,"1.75% {2/114}","0.59% {6/1010}",0.209,1
"830","GO:0002031","G protein-coupled receptor internalization",0.439,"0% {0/114}","0.3% {3/1010}",0.5,1
"831","GO:1904262","negative regulation of TORC1 signaling",0.438,"0% {0/114}","0.3% {3/1010}",0.5,1
"832","GO:0016573","histone acetylation",0.436,"0% {0/114}","0.3% {3/1010}",0.5,1
"833","GO:0006968","cellular defense response",0.435,"0.88% {1/114}","0.2% {2/1010}",0.354,1
"834","GO:2001235","positive regulation of apoptotic signaling pathway",0.434,"0% {0/114}","0.69% {7/1010}",0.604,1
"835","GO:0051966","regulation of synaptic transmission, glutamatergic",0.433,"0% {0/114}","0.5% {5/1010}",0.504,1
"836","GO:0045727","positive regulation of translation",0.433,"0.88% {1/114}","1.39% {14/1010}",0.507,1
"837","GO:0001837","epithelial to mesenchymal transition",0.431,"0% {0/114}","0.4% {4/1010}",0.5,1
"838","GO:0033617","mitochondrial cytochrome c oxidase assembly",0.43,"0% {0/114}","0.3% {3/1010}",0.5,1
"839","GO:0007339","binding of sperm to zona pellucida",0.429,"0% {0/114}","0.5% {5/1010}",0.504,1
"840","GO:0051168","nuclear export",0.429,"0% {0/114}","0.3% {3/1010}",0.5,1
"841","GO:0010821","regulation of mitochondrion organization",0.428,"0% {0/114}","0.79% {8/1010}",0.643,1
"842","GO:2000145","regulation of cell motility",0.427,"0% {0/114}","0.59% {6/1010}",0.559,1
"843","GO:0006302","double-strand break repair",0.427,"0% {0/114}","0.99% {10/1010}",0.706,1
"844","GO:0042073","intraciliary transport",0.424,"0% {0/114}","0.59% {6/1010}",0.559,1
"845","GO:0010907","positive regulation of glucose metabolic process",0.424,"0% {0/114}","0.3% {3/1010}",0.5,1
"846","GO:0046856","phosphatidylinositol dephosphorylation",0.423,"0% {0/114}","0.5% {5/1010}",0.504,1
"847","GO:0010248","establishment or maintenance of transmembrane electrochemical gradient",0.423,"0% {0/114}","0.3% {3/1010}",0.5,1
"848","GO:0009409","response to cold",0.422,"0.88% {1/114}","0.4% {4/1010}",0.5,1
"849","GO:0055072","iron ion homeostasis",0.422,"0.88% {1/114}","0.3% {3/1010}",0.438,1
"850","GO:2000479","regulation of cAMP-dependent protein kinase activity",0.421,"0% {0/114}","0.5% {5/1010}",0.504,1
"851","GO:0046580","negative regulation of Ras protein signal transduction",0.421,"0% {0/114}","0.3% {3/1010}",0.5,1
"852","GO:0006002","fructose 6-phosphate metabolic process",0.42,"0% {0/114}","0.3% {3/1010}",0.5,1
"853","GO:0006085","acetyl-CoA biosynthetic process",0.42,"0% {0/114}","0.4% {4/1010}",0.5,1
"854","GO:0042632","cholesterol homeostasis",0.418,"0.88% {1/114}","0.69% {7/1010}",0.5,1
"855","GO:0007623","circadian rhythm",0.416,"1.75% {2/114}","0.99% {10/1010}",0.393,1
"856","GO:0008654","phospholipid biosynthetic process",0.408,"0% {0/114}","0.5% {5/1010}",0.504,1
"857","GO:0051321","meiotic cell cycle",0.406,"0% {0/114}","0.79% {8/1010}",0.643,1
"858","GO:0042417","dopamine metabolic process",0.406,"0% {0/114}","0.3% {3/1010}",0.5,1
"859","GO:1905515","non-motile cilium assembly",0.405,"0% {0/114}","0.89% {9/1010}",0.676,1
"860","GO:0048286","lung alveolus development",0.403,"0% {0/114}","0.3% {3/1010}",0.5,1
"861","GO:0046949","fatty-acyl-CoA biosynthetic process",0.401,"0% {0/114}","0.3% {3/1010}",0.5,1
"862","GO:0048705","skeletal system morphogenesis",0.4,"0% {0/114}","0.3% {3/1010}",0.5,1
"863","GO:0008206","bile acid metabolic process",0.4,"0% {0/114}","0.4% {4/1010}",0.5,1
"864","GO:0048545","response to steroid hormone",0.397,"0% {0/114}","0.3% {3/1010}",0.5,1
"865","GO:0019229","regulation of vasoconstriction",0.393,"0% {0/114}","0.5% {5/1010}",0.504,1
"866","GO:0007416","synapse assembly",0.393,"0% {0/114}","0.69% {7/1010}",0.604,1
"867","GO:0050808","synapse organization",0.392,"0% {0/114}","0.79% {8/1010}",0.643,1
"868","GO:0071902","positive regulation of protein serine/threonine kinase activity",0.389,"0% {0/114}","0.89% {9/1010}",0.676,1
"869","GO:0015824","proline transport",0.385,"0% {0/114}","0.3% {3/1010}",0.5,1
"870","GO:0048488","synaptic vesicle endocytosis",0.385,"0% {0/114}","0.4% {4/1010}",0.5,1
"871","GO:0000083","regulation of transcription involved in G1/S transition of mitotic cell cycle",0.384,"0% {0/114}","0.4% {4/1010}",0.5,1
"872","GO:0045773","positive regulation of axon extension",0.383,"0% {0/114}","0.59% {6/1010}",0.559,1
"873","GO:0031047","gene silencing by RNA",0.383,"0% {0/114}","0.89% {9/1010}",0.676,1
"874","GO:0046330","positive regulation of JNK cascade",0.383,"0% {0/114}","0.79% {8/1010}",0.643,1
"875","GO:0009952","anterior/posterior pattern specification",0.382,"0% {0/114}","0.59% {6/1010}",0.559,1
"876","GO:0045184","establishment of protein localization",0.382,"0% {0/114}","0.4% {4/1010}",0.5,1
"877","GO:0046653","tetrahydrofolate metabolic process",0.381,"0% {0/114}","0.3% {3/1010}",0.5,1
"878","GO:0006367","transcription initiation from RNA polymerase II promoter",0.381,"0% {0/114}","0.79% {8/1010}",0.643,1
"879","GO:0032467","positive regulation of cytokinesis",0.38,"0% {0/114}","0.3% {3/1010}",0.5,1
"880","GO:0032801","receptor catabolic process",0.38,"0.88% {1/114}","0.2% {2/1010}",0.354,1
"881","GO:0031122","cytoplasmic microtubule organization",0.38,"0% {0/114}","0.4% {4/1010}",0.5,1
"882","GO:0042448","progesterone metabolic process",0.377,"0% {0/114}","0.4% {4/1010}",0.5,1
"883","GO:0000724","double-strand break repair via homologous recombination",0.377,"0% {0/114}","1.09% {11/1010}",0.732,1
"884","GO:0043653","mitochondrial fragmentation involved in apoptotic process",0.376,"0% {0/114}","0.5% {5/1010}",0.504,1
"885","GO:0032873","negative regulation of stress-activated MAPK cascade",0.375,"0% {0/114}","0.3% {3/1010}",0.5,1
"886","GO:0046323","glucose import",0.375,"0.88% {1/114}","0.2% {2/1010}",0.354,1
"887","GO:0010569","regulation of double-strand break repair via homologous recombination",0.373,"0% {0/114}","0.4% {4/1010}",0.5,1
"888","GO:0015721","bile acid and bile salt transport",0.372,"0.88% {1/114}","0.4% {4/1010}",0.5,1
"889","GO:0007368","determination of left/right symmetry",0.372,"0% {0/114}","0.5% {5/1010}",0.504,1
"890","GO:0030325","adrenal gland development",0.371,"0.88% {1/114}","0.4% {4/1010}",0.5,1
"891","GO:1904754","positive regulation of vascular associated smooth muscle cell migration",0.37,"0% {0/114}","0.3% {3/1010}",0.5,1
"892","GO:0071392","cellular response to estradiol stimulus",0.367,"0% {0/114}","0.4% {4/1010}",0.5,1
"893","GO:0016358","dendrite development",0.366,"0.88% {1/114}","0.3% {3/1010}",0.438,1
"894","GO:1902617","response to fluoride",0.366,"0.88% {1/114}","0.2% {2/1010}",0.354,1
"895","GO:0051090","regulation of DNA-binding transcription factor activity",0.364,"0% {0/114}","0.79% {8/1010}",0.643,1
"896","GO:0001676","long-chain fatty acid metabolic process",0.364,"0% {0/114}","0.69% {7/1010}",0.604,1
"897","GO:0007369","gastrulation",0.364,"0% {0/114}","0.5% {5/1010}",0.504,1
"898","GO:1903351","cellular response to dopamine",0.363,"0.88% {1/114}","0.3% {3/1010}",0.438,1
"899","GO:0032543","mitochondrial translation",0.362,"0% {0/114}","0.5% {5/1010}",0.504,1
"900","GO:0060021","roof of mouth development",0.361,"0% {0/114}","0.5% {5/1010}",0.504,1
"901","GO:0007628","adult walking behavior",0.36,"0% {0/114}","0.4% {4/1010}",0.5,1
"902","GO:0006336","DNA replication-independent nucleosome assembly",0.36,"0% {0/114}","0.3% {3/1010}",0.5,1
"903","GO:0071222","cellular response to lipopolysaccharide",0.359,"0% {0/114}","0.59% {6/1010}",0.559,1
"904","GO:0007015","actin filament organization",0.358,"0% {0/114}","0.69% {7/1010}",0.604,1
"905","GO:0071479","cellular response to ionizing radiation",0.358,"0.88% {1/114}","0.79% {8/1010}",0.5,1
"906","GO:1900740","positive regulation of protein insertion into mitochondrial membrane involved in apoptotic signaling pathway",0.357,"0% {0/114}","0.59% {6/1010}",0.559,1
"907","GO:1903204","negative regulation of oxidative stress-induced neuron death",0.356,"0.88% {1/114}","0.2% {2/1010}",0.354,1
"908","GO:0043647","inositol phosphate metabolic process",0.354,"0% {0/114}","0.4% {4/1010}",0.5,1
"909","GO:0006783","heme biosynthetic process",0.354,"0% {0/114}","0.3% {3/1010}",0.5,1
"910","GO:0043122","regulation of I-kappaB kinase/NF-kappaB signaling",0.353,"0% {0/114}","0.3% {3/1010}",0.5,1
"911","GO:0043525","positive regulation of neuron apoptotic process",0.353,"0% {0/114}","0.89% {9/1010}",0.676,1
"912","GO:0045927","positive regulation of growth",0.35,"0% {0/114}","0.3% {3/1010}",0.5,1
"913","GO:0044539","long-chain fatty acid import into cell",0.349,"0% {0/114}","0.5% {5/1010}",0.504,1
"914","GO:0051592","response to calcium ion",0.348,"0% {0/114}","0.69% {7/1010}",0.604,1
"915","GO:0006888","endoplasmic reticulum to Golgi vesicle-mediated transport",0.347,"0% {0/114}","0.5% {5/1010}",0.504,1
"916","GO:0006937","regulation of muscle contraction",0.344,"0% {0/114}","0.3% {3/1010}",0.5,1
"917","GO:0016071","mRNA metabolic process",0.343,"0% {0/114}","0.3% {3/1010}",0.5,1
"918","GO:0048661","positive regulation of smooth muscle cell proliferation",0.343,"0.88% {1/114}","0.5% {5/1010}",0.5,1
"919","GO:0019934","cGMP-mediated signaling",0.343,"0% {0/114}","0.4% {4/1010}",0.5,1
"920","GO:0031076","embryonic camera-type eye development",0.342,"0% {0/114}","0.3% {3/1010}",0.5,1
"921","GO:0070584","mitochondrion morphogenesis",0.342,"0% {0/114}","0.59% {6/1010}",0.559,1
"922","GO:0030097","hemopoiesis",0.341,"0.88% {1/114}","0.2% {2/1010}",0.354,1
"923","GO:2000463","positive regulation of excitatory postsynaptic potential",0.341,"0% {0/114}","0.5% {5/1010}",0.504,1
"924","GO:0010737","protein kinase A signaling",0.34,"0% {0/114}","0.5% {5/1010}",0.504,1
"925","GO:0006015","5-phosphoribose 1-diphosphate biosynthetic process",0.338,"0% {0/114}","0.3% {3/1010}",0.5,1
"926","GO:0007007","inner mitochondrial membrane organization",0.337,"0% {0/114}","0.3% {3/1010}",0.5,1
"927","GO:0050999","regulation of nitric-oxide synthase activity",0.336,"0% {0/114}","0.4% {4/1010}",0.5,1
"928","GO:0030163","protein catabolic process",0.336,"0.88% {1/114}","0.89% {9/1010}",0.5,1
"929","GO:0045822","negative regulation of heart contraction",0.335,"0% {0/114}","0.4% {4/1010}",0.5,1
"930","GO:1904871","positive regulation of protein localization to Cajal body",0.335,"0% {0/114}","0.4% {4/1010}",0.5,1
"931","GO:0006401","RNA catabolic process",0.335,"0% {0/114}","0.4% {4/1010}",0.5,1
"932","GO:0045787","positive regulation of cell cycle",0.334,"0% {0/114}","0.3% {3/1010}",0.5,1
"933","GO:0006306","DNA methylation",0.333,"0% {0/114}","0.4% {4/1010}",0.5,1
"934","GO:0050679","positive regulation of epithelial cell proliferation",0.332,"0% {0/114}","0.69% {7/1010}",0.604,1
"935","GO:0010033","response to organic substance",0.331,"0.88% {1/114}","0.99% {10/1010}",0.5,1
"936","GO:1901029","negative regulation of mitochondrial outer membrane permeabilization involved in apoptotic signaling pathway",0.331,"0.88% {1/114}","0.2% {2/1010}",0.354,1
"937","GO:0046676","negative regulation of insulin secretion",0.331,"0.88% {1/114}","0.5% {5/1010}",0.5,1
"938","GO:1901224","positive regulation of NIK/NF-kappaB signaling",0.331,"0% {0/114}","0.79% {8/1010}",0.643,1
"939","GO:0007166","cell surface receptor signaling pathway",0.329,"0% {0/114}","1.19% {12/1010}",0.755,1
"940","GO:0033540","fatty acid beta-oxidation using acyl-CoA oxidase",0.328,"0% {0/114}","0.4% {4/1010}",0.5,1
"941","GO:0045739","positive regulation of DNA repair",0.327,"0.88% {1/114}","0.59% {6/1010}",0.5,1
"942","GO:0072657","protein localization to membrane",0.326,"0% {0/114}","0.4% {4/1010}",0.5,1
"943","GO:0050872","white fat cell differentiation",0.326,"0.88% {1/114}","0.3% {3/1010}",0.438,1
"944","GO:0050714","positive regulation of protein secretion",0.325,"0% {0/114}","0.5% {5/1010}",0.504,1
"945","GO:0007249","I-kappaB kinase/NF-kappaB signaling",0.324,"0% {0/114}","0.3% {3/1010}",0.5,1
"946","GO:0046855","inositol phosphate dephosphorylation",0.323,"0% {0/114}","0.4% {4/1010}",0.5,1
"947","GO:0046628","positive regulation of insulin receptor signaling pathway",0.32,"1.75% {2/114}","0.3% {3/1010}",0.07,1
"948","GO:0042327","positive regulation of phosphorylation",0.319,"0% {0/114}","0.5% {5/1010}",0.504,1
"949","GO:0051091","positive regulation of DNA-binding transcription factor activity",0.318,"0% {0/114}","0.99% {10/1010}",0.706,1
"950","GO:0032471","negative regulation of endoplasmic reticulum calcium ion concentration",0.316,"0% {0/114}","0.3% {3/1010}",0.5,1
"951","GO:0007267","cell-cell signaling",0.316,"0% {0/114}","0.69% {7/1010}",0.604,1
"952","GO:0048741","skeletal muscle fiber development",0.313,"0% {0/114}","0.4% {4/1010}",0.5,1
"953","GO:0032735","positive regulation of interleukin-12 production",0.313,"0% {0/114}","0.3% {3/1010}",0.5,1
"954","GO:0007179","transforming growth factor beta receptor signaling pathway",0.313,"0.88% {1/114}","0.79% {8/1010}",0.5,1
"955","GO:0010592","positive regulation of lamellipodium assembly",0.31,"0.88% {1/114}","0.5% {5/1010}",0.5,1
"956","GO:0035902","response to immobilization stress",0.309,"0.88% {1/114}","0.4% {4/1010}",0.5,1
"957","GO:0014850","response to muscle activity",0.309,"0.88% {1/114}","0.59% {6/1010}",0.5,1
"958","GO:0030155","regulation of cell adhesion",0.308,"0% {0/114}","0.3% {3/1010}",0.5,1
"959","GO:0070050","neuron cellular homeostasis",0.307,"0.88% {1/114}","0.3% {3/1010}",0.438,1
"960","GO:0000002","mitochondrial genome maintenance",0.307,"0% {0/114}","0.59% {6/1010}",0.559,1
"961","GO:0033209","tumor necrosis factor-mediated signaling pathway",0.307,"0% {0/114}","1.19% {12/1010}",0.755,1
"962","GO:0006296","nucleotide-excision repair, DNA incision, 5'-to lesion",0.307,"0% {0/114}","0.69% {7/1010}",0.604,1
"963","GO:0001558","regulation of cell growth",0.307,"0.88% {1/114}","0.69% {7/1010}",0.5,1
"964","GO:0048666","neuron development",0.306,"0.88% {1/114}","0.4% {4/1010}",0.5,1
"965","GO:0006400","tRNA modification",0.305,"0% {0/114}","0.3% {3/1010}",0.5,1
"966","GO:2001244","positive regulation of intrinsic apoptotic signaling pathway",0.304,"0.88% {1/114}","0.5% {5/1010}",0.5,1
"967","GO:0007258","JUN phosphorylation",0.303,"0% {0/114}","0.3% {3/1010}",0.5,1
"968","GO:0120009","intermembrane lipid transfer",0.303,"0% {0/114}","0.5% {5/1010}",0.504,1
"969","GO:0000028","ribosomal small subunit assembly",0.301,"0% {0/114}","0.4% {4/1010}",0.5,1
"970","GO:1904381","Golgi apparatus mannose trimming",0.301,"0% {0/114}","0.3% {3/1010}",0.5,1
"971","GO:0030183","B cell differentiation",0.301,"0% {0/114}","0.5% {5/1010}",0.504,1
"972","GO:0010460","positive regulation of heart rate",0.3,"0% {0/114}","0.3% {3/1010}",0.5,1
"973","GO:0045746","negative regulation of Notch signaling pathway",0.297,"0% {0/114}","0.3% {3/1010}",0.5,1
"974","GO:0030216","keratinocyte differentiation",0.295,"0% {0/114}","0.59% {6/1010}",0.559,1
"975","GO:0007492","endoderm development",0.294,"0.88% {1/114}","0.3% {3/1010}",0.438,1
"976","GO:0031054","pre-miRNA processing",0.293,"0% {0/114}","0.59% {6/1010}",0.559,1
"977","GO:0008542","visual learning",0.293,"0.88% {1/114}","0.59% {6/1010}",0.5,1
"978","GO:0010469","regulation of signaling receptor activity",0.291,"0% {0/114}","0.3% {3/1010}",0.5,1
"979","GO:0007160","cell-matrix adhesion",0.291,"0% {0/114}","0.79% {8/1010}",0.643,1
"980","GO:0071361","cellular response to ethanol",0.291,"1.75% {2/114}","0.2% {2/1010}",0.035,1
"981","GO:0007040","lysosome organization",0.291,"0.88% {1/114}","0.5% {5/1010}",0.5,1
"982","GO:0043967","histone H4 acetylation",0.291,"0% {0/114}","0.3% {3/1010}",0.5,1
"983","GO:0051146","striated muscle cell differentiation",0.29,"0% {0/114}","0.3% {3/1010}",0.5,1
"984","GO:0031146","SCF-dependent proteasomal ubiquitin-dependent protein catabolic process",0.29,"0% {0/114}","1.49% {15/1010}",0.81,1
"985","GO:0045666","positive regulation of neuron differentiation",0.289,"0% {0/114}","0.69% {7/1010}",0.604,1
"986","GO:0021549","cerebellum development",0.289,"0% {0/114}","0.59% {6/1010}",0.559,1
"987","GO:0051973","positive regulation of telomerase activity",0.288,"0% {0/114}","0.69% {7/1010}",0.604,1
"988","GO:1903830","magnesium ion transmembrane transport",0.286,"0% {0/114}","0.4% {4/1010}",0.5,1
"989","GO:0071157","negative regulation of cell cycle arrest",0.286,"0% {0/114}","0.4% {4/1010}",0.5,1
"990","GO:1902042","negative regulation of extrinsic apoptotic signaling pathway via death domain receptors",0.284,"0% {0/114}","0.5% {5/1010}",0.504,1
"991","GO:0030878","thyroid gland development",0.284,"0% {0/114}","0.4% {4/1010}",0.5,1
"992","GO:0010918","positive regulation of mitochondrial membrane potential",0.283,"0% {0/114}","0.3% {3/1010}",0.5,1
"993","GO:0031623","receptor internalization",0.283,"0% {0/114}","0.69% {7/1010}",0.604,1
"994","GO:0016082","synaptic vesicle priming",0.282,"0% {0/114}","0.4% {4/1010}",0.5,1
"995","GO:0051252","regulation of RNA metabolic process",0.281,"0% {0/114}","0.3% {3/1010}",0.5,1
"996","GO:0006844","acyl carnitine transport",0.28,"0% {0/114}","0.3% {3/1010}",0.5,1
"997","GO:0050727","regulation of inflammatory response",0.279,"0% {0/114}","0.69% {7/1010}",0.604,1
"998","GO:0006289","nucleotide-excision repair",0.279,"0% {0/114}","0.89% {9/1010}",0.676,1
"999","GO:0010613","positive regulation of cardiac muscle hypertrophy",0.279,"0% {0/114}","0.69% {7/1010}",0.604,1
"1000","GO:0071360","cellular response to exogenous dsRNA",0.278,"0% {0/114}","0.3% {3/1010}",0.5,1
"1001","GO:0051017","actin filament bundle assembly",0.277,"0% {0/114}","0.5% {5/1010}",0.504,1
"1002","GO:0070507","regulation of microtubule cytoskeleton organization",0.276,"1.75% {2/114}","0.3% {3/1010}",0.07,1
"1003","GO:0031053","primary miRNA processing",0.276,"0% {0/114}","0.3% {3/1010}",0.5,1
"1004","GO:2001238","positive regulation of extrinsic apoptotic signaling pathway",0.275,"0% {0/114}","0.3% {3/1010}",0.5,1
"1005","GO:0060993","kidney morphogenesis",0.275,"0% {0/114}","0.3% {3/1010}",0.5,1
"1006","GO:0019722","calcium-mediated signaling",0.275,"0% {0/114}","0.69% {7/1010}",0.604,1
"1007","GO:0070125","mitochondrial translational elongation",0.275,"0% {0/114}","0.69% {7/1010}",0.604,1
"1008","GO:0036503","ERAD pathway",0.274,"0% {0/114}","0.3% {3/1010}",0.5,1
"1009","GO:0002098","tRNA wobble uridine modification",0.274,"0% {0/114}","0.3% {3/1010}",0.5,1
"1010","GO:0006513","protein monoubiquitination",0.274,"0% {0/114}","0.3% {3/1010}",0.5,1
"1011","GO:0042059","negative regulation of epidermal growth factor receptor signaling pathway",0.274,"0% {0/114}","0.4% {4/1010}",0.5,1
"1012","GO:0010977","negative regulation of neuron projection development",0.272,"0.88% {1/114}","0.5% {5/1010}",0.5,1
"1013","GO:0030030","cell projection organization",0.272,"0.88% {1/114}","1.19% {12/1010}",0.5,1
"1014","GO:0030199","collagen fibril organization",0.272,"0% {0/114}","0.4% {4/1010}",0.5,1
"1015","GO:0035065","regulation of histone acetylation",0.267,"0% {0/114}","0.3% {3/1010}",0.5,1
"1016","GO:1904706","negative regulation of vascular associated smooth muscle cell proliferation",0.266,"0.88% {1/114}","0.5% {5/1010}",0.5,1
"1017","GO:0035900","response to isolation stress",0.266,"0.88% {1/114}","0.3% {3/1010}",0.438,1
"1018","GO:0032691","negative regulation of interleukin-1 beta production",0.266,"0% {0/114}","0.3% {3/1010}",0.5,1
"1019","GO:0048469","cell maturation",0.265,"0% {0/114}","0.3% {3/1010}",0.5,1
"1020","GO:0006521","regulation of cellular amino acid metabolic process",0.264,"0% {0/114}","0.99% {10/1010}",0.706,1
"1021","GO:0046827","positive regulation of protein export from nucleus",0.263,"0% {0/114}","0.3% {3/1010}",0.5,1
"1022","GO:0043473","pigmentation",0.263,"0% {0/114}","0.59% {6/1010}",0.559,1
"1023","GO:0007229","integrin-mediated signaling pathway",0.263,"0% {0/114}","0.4% {4/1010}",0.5,1
"1024","GO:0046579","positive regulation of Ras protein signal transduction",0.263,"0% {0/114}","0.69% {7/1010}",0.604,1
"1025","GO:0031507","heterochromatin assembly",0.263,"0.88% {1/114}","0.2% {2/1010}",0.354,1
"1026","GO:0010881","regulation of cardiac muscle contraction by regulation of the release of sequestered calcium ion",0.262,"0% {0/114}","0.3% {3/1010}",0.5,1
"1027","GO:0050771","negative regulation of axonogenesis",0.261,"0% {0/114}","0.3% {3/1010}",0.5,1
"1028","GO:0010975","regulation of neuron projection development",0.26,"0% {0/114}","0.5% {5/1010}",0.504,1
